survived,pclass,fare,familySize,age,sex_male,embarked_Q,embarked_S
1,1,211.3375,0,29.0,0,0,1
1,1,151.55,3,0.92,1,0,1
0,1,151.55,3,2.0,0,0,1
0,1,151.55,3,30.0,1,0,1
0,1,151.55,3,25.0,0,0,1
1,1,26.55,0,48.0,1,0,1
1,1,77.9583,1,63.0,0,0,1
0,1,0.0,0,39.0,1,0,1
1,1,51.4792,2,53.0,0,0,1
0,1,49.5042,0,71.0,1,0,0
0,1,227.525,1,47.0,1,0,0
1,1,227.525,1,18.0,0,0,0
1,1,69.3,0,24.0,0,0,0
1,1,78.85,0,26.0,0,0,1
1,1,30.0,0,80.0,1,0,1
0,1,25.925,0,28.0,1,0,1
0,1,247.5208,1,24.0,1,0,0
1,1,247.5208,1,50.0,0,0,0
1,1,76.2917,0,32.0,0,0,0
0,1,75.2417,0,36.0,1,0,0
1,1,52.5542,2,37.0,1,0,1
1,1,52.5542,2,47.0,0,0,1
1,1,30.0,0,26.0,1,0,0
1,1,227.525,0,42.0,0,0,0
1,1,221.7792,0,29.0,0,0,1
0,1,26.0,0,25.0,1,0,0
1,1,91.0792,1,25.0,1,0,0
1,1,91.0792,1,19.0,0,0,0
1,1,135.6333,0,35.0,0,0,1
1,1,26.55,0,28.0,1,0,1
0,1,35.5,0,45.0,1,0,1
1,1,31.0,0,40.0,1,0,0
1,1,164.8667,0,30.0,0,0,1
1,1,26.55,0,58.0,0,0,1
0,1,26.55,0,42.0,1,0,1
1,1,262.375,0,45.0,0,0,0
1,1,55.0,1,22.0,0,0,1
1,1,26.55,0,28.0,1,0,1
0,1,30.5,0,41.0,1,0,1
0,1,50.4958,0,48.0,1,0,0
0,1,39.6,0,28.0,1,0,0
1,1,27.7208,0,44.0,0,0,0
1,1,51.4792,2,59.0,0,0,1
1,1,76.2917,0,60.0,0,0,0
1,1,134.5,0,41.0,0,0,0
0,1,26.55,0,45.0,1,0,1
0,1,31.0,0,28.0,1,0,1
1,1,26.2875,0,42.0,1,0,1
1,1,27.4458,0,53.0,0,0,0
1,1,512.3292,1,36.0,1,0,0
1,1,512.3292,1,58.0,0,0,0
0,1,5.0,0,33.0,1,0,1
0,1,47.1,0,28.0,1,0,1
0,1,47.1,0,17.0,1,0,1
1,1,120.0,3,11.0,1,0,1
1,1,120.0,3,14.0,0,0,1
1,1,120.0,3,36.0,1,0,1
1,1,120.0,3,36.0,0,0,1
0,1,26.0,0,49.0,1,0,1
1,1,27.7208,0,28.0,0,0,0
0,1,78.85,1,36.0,1,0,1
1,1,78.85,1,76.0,0,0,1
0,1,61.175,1,46.0,1,0,1
1,1,61.175,1,47.0,0,0,1
1,1,53.1,1,27.0,1,0,1
1,1,53.1,1,33.0,0,0,1
1,1,262.375,0,36.0,0,0,0
1,1,86.5,0,30.0,0,0,1
1,1,29.7,0,45.0,1,0,0
1,1,55.0,1,28.0,0,0,1
0,1,0.0,0,28.0,1,0,1
0,1,136.7792,1,27.0,1,0,0
1,1,136.7792,1,26.0,0,0,0
1,1,151.55,0,22.0,0,0,1
0,1,52.0,0,28.0,1,0,1
0,1,25.5875,0,47.0,1,0,1
1,1,83.1583,2,39.0,0,0,0
0,1,83.1583,2,37.0,1,0,0
1,1,83.1583,2,64.0,0,0,0
1,1,25.7,2,55.0,0,0,1
0,1,26.55,0,28.0,1,0,1
0,1,71.0,2,70.0,1,0,1
1,1,71.0,2,36.0,0,0,1
1,1,26.55,2,64.0,0,0,1
0,1,71.2833,1,39.0,1,0,0
1,1,71.2833,1,38.0,0,0,0
1,1,26.55,0,51.0,1,0,1
1,1,30.5,0,27.0,1,0,1
1,1,151.55,0,33.0,0,0,1
0,1,52.0,1,31.0,1,0,1
1,1,52.0,3,27.0,0,0,1
1,1,57.0,1,31.0,1,0,1
1,1,57.0,1,17.0,0,0,1
1,1,81.8583,2,53.0,1,0,1
1,1,81.8583,2,4.0,1,0,1
1,1,81.8583,2,54.0,0,0,1
0,1,106.425,1,50.0,1,0,0
1,1,247.5208,2,27.0,0,0,0
1,1,106.425,1,48.0,0,0,0
1,1,39.6,1,48.0,0,0,0
1,1,56.9292,1,49.0,1,0,0
0,1,29.7,0,39.0,1,0,0
1,1,83.1583,1,23.0,0,0,0
1,1,227.525,0,38.0,0,0,0
1,1,78.2667,1,54.0,0,0,0
0,1,31.6792,0,36.0,0,0,0
0,1,221.7792,0,28.0,1,0,1
1,1,31.6833,0,28.0,0,0,1
1,1,110.8833,0,28.0,0,0,0
1,1,26.3875,0,36.0,1,0,1
0,1,27.75,0,30.0,1,0,0
1,1,263.0,5,24.0,0,0,1
1,1,263.0,5,28.0,0,0,1
1,1,263.0,5,23.0,0,0,1
0,1,263.0,5,19.0,1,0,1
0,1,263.0,5,64.0,1,0,1
1,1,263.0,5,60.0,0,0,1
1,1,56.9292,0,30.0,0,0,0
0,1,26.55,0,28.0,1,0,1
1,1,133.65,2,50.0,1,0,1
1,1,27.7208,1,43.0,1,0,0
1,1,133.65,1,28.0,0,0,1
1,1,49.5,2,22.0,0,0,0
1,1,79.2,2,60.0,1,0,0
1,1,79.2,2,48.0,0,0,0
0,1,0.0,0,28.0,1,0,1
0,1,53.1,1,37.0,1,0,1
1,1,53.1,1,35.0,0,0,1
0,1,38.5,0,47.0,1,0,1
1,1,211.5,0,35.0,0,0,0
1,1,59.4,1,22.0,0,0,0
1,1,59.4,1,45.0,0,0,0
0,1,79.2,0,24.0,1,0,0
1,1,89.1042,1,49.0,1,0,0
1,1,89.1042,1,28.0,0,0,0
0,1,34.6542,0,71.0,1,0,0
1,1,28.5,0,53.0,1,0,0
1,1,30.0,0,19.0,0,0,1
0,1,153.4625,1,38.0,1,0,1
1,1,153.4625,1,58.0,0,0,1
1,1,63.3583,1,23.0,1,0,0
1,1,63.3583,1,45.0,0,0,0
0,1,79.2,0,46.0,1,0,0
1,1,55.4417,1,25.0,1,0,0
1,1,55.4417,1,25.0,0,0,0
1,1,76.7292,1,48.0,1,0,0
1,1,76.7292,1,49.0,0,0,0
0,1,42.4,0,28.0,1,0,1
0,1,83.475,1,45.0,1,0,1
1,1,83.475,1,35.0,0,0,1
0,1,0.0,0,40.0,1,0,1
1,1,76.7292,0,27.0,1,0,0
1,1,30.0,0,28.0,1,0,1
1,1,83.1583,0,24.0,0,0,0
0,1,93.5,2,55.0,1,0,1
1,1,93.5,2,52.0,0,0,1
0,1,42.5,0,42.0,1,0,1
0,1,51.8625,0,28.0,1,0,1
0,1,50.0,0,55.0,1,0,1
1,1,57.9792,1,16.0,0,0,0
1,1,57.9792,1,44.0,0,0,0
1,1,77.9583,1,51.0,0,0,1
0,1,52.0,1,42.0,1,0,1
1,1,52.0,1,35.0,0,0,1
1,1,26.55,0,35.0,1,0,0
1,1,90.0,1,38.0,1,0,1
0,1,30.6958,0,28.0,1,0,0
1,1,90.0,1,35.0,0,0,1
1,1,80.0,0,38.0,0,0,0
0,1,28.7125,0,50.0,0,0,0
1,1,0.0,0,49.0,1,0,1
0,1,26.0,0,46.0,1,0,1
0,1,26.0,0,50.0,1,0,1
0,1,211.5,0,32.5,1,0,0
0,1,29.7,0,58.0,1,0,0
0,1,51.8625,1,41.0,1,0,1
1,1,51.8625,1,28.0,0,0,1
1,1,52.5542,1,42.0,1,0,1
1,1,52.5542,1,45.0,0,0,1
0,1,26.55,0,28.0,1,0,1
1,1,211.3375,0,39.0,0,0,1
1,1,25.9292,0,49.0,0,0,1
1,1,106.425,0,30.0,0,0,0
1,1,512.3292,0,35.0,1,0,0
0,1,27.7208,0,28.0,1,0,0
0,1,26.55,0,42.0,1,0,1
1,1,27.7208,0,55.0,0,0,0
1,1,39.4,1,16.0,0,0,1
1,1,39.4,1,51.0,0,0,1
0,1,30.0,0,29.0,1,0,1
1,1,77.9583,0,21.0,0,0,1
0,1,45.5,0,30.0,1,0,1
1,1,146.5208,0,58.0,0,0,0
1,1,211.3375,1,15.0,0,0,1
0,1,26.0,0,30.0,1,0,1
1,1,86.5,0,16.0,0,0,1
1,1,29.7,0,28.0,1,0,0
0,1,53.1,1,19.0,1,0,1
1,1,53.1,1,18.0,0,0,1
1,1,49.5042,0,24.0,0,0,0
0,1,75.2417,0,46.0,1,0,0
0,1,51.8625,0,54.0,1,0,1
1,1,26.2875,0,36.0,1,0,1
0,1,82.1708,1,28.0,1,0,0
1,1,82.1708,1,28.0,0,0,0
0,1,26.55,0,65.0,1,0,1
0,1,90.0,2,44.0,1,1,0
1,1,90.0,1,33.0,0,1,0
1,1,90.0,1,37.0,0,1,0
1,1,57.75,1,30.0,1,0,0
0,1,30.5,0,55.0,1,0,1
0,1,42.4,0,47.0,1,0,1
0,1,29.7,1,37.0,1,0,0
1,1,113.275,1,31.0,0,0,0
1,1,113.275,1,23.0,0,0,0
0,1,113.275,2,58.0,1,0,0
1,1,26.2833,2,19.0,0,0,1
0,1,26.0,0,64.0,1,0,1
1,1,108.9,0,39.0,0,0,0
1,1,25.7417,0,28.0,1,0,0
1,1,61.9792,1,22.0,0,0,0
0,1,61.9792,1,65.0,1,0,0
0,1,27.7208,0,28.5,1,0,0
0,1,0.0,0,28.0,1,0,1
0,1,28.5,0,45.5,1,0,1
0,1,93.5,0,23.0,1,0,1
0,1,66.6,1,29.0,1,0,1
1,1,66.6,1,22.0,0,0,1
0,1,108.9,1,18.0,1,0,0
1,1,108.9,1,17.0,0,0,0
1,1,93.5,0,30.0,0,0,1
1,1,30.5,0,52.0,1,0,1
0,1,52.0,0,47.0,1,0,1
1,1,83.1583,1,56.0,0,0,0
0,1,0.0,0,38.0,1,0,1
1,1,39.6,0,28.0,1,0,1
0,1,135.6333,0,22.0,1,0,0
0,1,227.525,0,28.0,1,0,0
1,1,211.3375,1,43.0,0,0,1
0,1,50.4958,0,31.0,1,0,1
1,1,26.55,0,45.0,1,0,1
0,1,50.0,0,28.0,1,0,1
1,1,27.7208,0,33.0,0,0,0
0,1,79.2,0,46.0,1,0,0
0,1,40.125,0,36.0,1,0,0
1,1,86.5,0,33.0,0,0,1
0,1,59.4,1,55.0,1,0,0
1,1,59.4,1,54.0,0,0,0
0,1,26.55,0,33.0,1,0,1
1,1,262.375,4,13.0,1,0,0
1,1,262.375,4,18.0,0,0,0
1,1,262.375,4,21.0,0,0,0
0,1,262.375,4,61.0,1,0,0
1,1,262.375,4,48.0,0,0,0
1,1,30.5,0,28.0,1,0,1
1,1,69.3,0,24.0,0,0,0
1,1,26.0,0,28.0,1,0,1
1,1,57.75,1,35.0,0,0,0
1,1,31.0,0,30.0,0,0,0
1,1,26.55,0,34.0,1,0,1
1,1,153.4625,0,40.0,0,0,1
1,1,26.2875,0,35.0,1,0,1
0,1,55.9,1,50.0,1,0,1
1,1,55.9,1,39.0,0,0,1
1,1,35.5,0,56.0,1,0,0
1,1,35.5,0,28.0,1,0,1
0,1,26.55,0,56.0,1,0,1
0,1,30.6958,0,56.0,1,0,0
0,1,60.0,1,24.0,1,0,1
0,1,26.0,0,28.0,1,0,1
1,1,60.0,1,18.0,0,0,1
1,1,82.2667,1,24.0,1,0,1
1,1,82.2667,1,23.0,0,0,1
1,1,134.5,2,6.0,1,0,0
1,1,134.5,2,45.0,1,0,0
1,1,134.5,2,40.0,0,0,0
0,1,146.5208,1,57.0,1,0,0
1,1,146.5208,1,28.0,0,0,0
1,1,30.5,0,32.0,1,0,0
0,1,26.55,0,62.0,1,0,1
1,1,55.4417,1,54.0,1,0,0
1,1,55.4417,1,43.0,0,0,0
1,1,78.2667,1,52.0,0,0,0
0,1,27.7208,0,28.0,1,0,0
1,1,80.0,0,62.0,0,0,0
0,1,221.7792,1,67.0,1,0,1
0,1,221.7792,1,63.0,0,0,1
0,1,32.3208,0,61.0,1,0,1
1,1,25.9292,0,48.0,0,0,1
1,1,79.65,2,18.0,0,0,1
0,1,79.65,2,52.0,1,0,1
1,1,79.65,2,39.0,0,0,1
1,1,52.0,1,48.0,1,0,1
1,1,52.0,1,28.0,0,0,1
0,1,110.8833,2,49.0,1,0,0
1,1,110.8833,2,17.0,1,0,0
1,1,110.8833,2,39.0,0,0,0
1,1,79.2,0,28.0,0,0,0
1,1,28.5375,0,31.0,1,0,0
0,1,27.7208,0,40.0,1,0,0
0,1,33.5,0,61.0,1,0,1
0,1,34.0208,0,47.0,1,0,1
1,1,512.3292,0,35.0,0,0,0
0,1,75.25,1,64.0,1,0,0
1,1,75.25,1,60.0,0,0,0
0,1,26.55,0,60.0,1,0,1
0,1,77.2875,1,54.0,1,0,1
0,1,77.2875,1,21.0,1,0,1
1,1,135.6333,0,55.0,0,0,0
1,1,164.8667,2,31.0,0,0,1
0,1,164.8667,2,57.0,1,0,1
1,1,164.8667,2,45.0,0,0,1
0,1,211.5,2,50.0,1,0,0
0,1,211.5,2,27.0,1,0,0
1,1,211.5,2,50.0,0,0,0
1,1,26.55,0,21.0,0,0,1
0,1,61.3792,1,51.0,1,0,0
1,1,61.3792,1,21.0,1,0,0
0,1,35.0,0,28.0,1,0,1
1,1,134.5,0,31.0,0,0,0
1,1,35.5,0,28.0,1,0,1
0,1,26.55,0,62.0,1,0,1
1,1,135.6333,0,36.0,0,0,0
0,2,24.0,1,30.0,1,0,0
1,2,24.0,1,28.0,0,0,0
0,2,13.0,0,30.0,1,0,1
0,2,11.5,0,18.0,1,0,1
0,2,10.5,0,25.0,1,0,1
0,2,26.0,1,34.0,1,0,1
1,2,26.0,1,36.0,0,0,1
0,2,13.0,0,57.0,1,0,1
0,2,11.5,0,18.0,1,0,1
0,2,10.5,0,23.0,1,0,1
1,2,13.0,0,36.0,0,0,1
0,2,10.5,0,28.0,1,0,1
0,2,12.525,0,51.0,1,0,1
1,2,26.0,1,32.0,1,0,1
1,2,26.0,1,19.0,0,0,1
0,2,26.0,0,28.0,1,0,1
1,2,39.0,3,1.0,1,0,1
1,2,39.0,3,4.0,0,0,1
1,2,39.0,3,12.0,0,0,1
1,2,39.0,3,36.0,0,0,1
1,2,13.0,0,34.0,1,0,1
1,2,13.0,0,19.0,0,0,1
0,2,13.0,0,23.0,1,0,1
0,2,13.0,0,26.0,1,0,1
0,2,13.0,0,42.0,1,0,1
0,2,13.0,0,27.0,1,0,1
1,2,13.0,0,24.0,0,0,1
1,2,39.0,2,15.0,0,0,1
0,2,39.0,2,60.0,1,0,1
1,2,39.0,2,40.0,0,0,1
1,2,26.0,1,20.0,0,0,1
0,2,26.0,1,25.0,1,0,1
1,2,13.0,0,36.0,0,0,1
0,2,13.0,0,25.0,1,0,1
0,2,13.0,0,42.0,1,0,1
1,2,13.0,0,42.0,0,0,1
1,2,29.0,2,0.83,1,0,1
1,2,29.0,2,26.0,1,0,1
1,2,29.0,2,22.0,0,0,1
1,2,21.0,0,35.0,0,0,1
0,2,0.0,0,28.0,1,0,1
0,2,13.0,0,19.0,1,0,1
0,2,26.0,1,44.0,0,0,1
0,2,26.0,1,54.0,1,0,1
0,2,13.5,0,52.0,1,0,1
0,2,26.0,1,37.0,1,0,1
0,2,26.0,1,29.0,0,0,1
1,2,30.0,2,25.0,0,0,1
1,2,30.0,2,45.0,0,0,1
0,2,26.0,1,29.0,1,0,1
1,2,26.0,1,28.0,0,0,1
0,2,10.5,0,29.0,1,0,1
0,2,13.0,0,28.0,1,0,1
1,2,10.5,0,24.0,1,0,1
1,2,26.25,2,8.0,0,0,1
0,2,26.25,2,31.0,1,0,1
1,2,26.25,2,31.0,0,0,1
1,2,10.5,0,22.0,0,0,1
0,2,13.0,0,30.0,0,0,1
0,2,21.0,0,28.0,0,0,1
0,2,11.5,0,21.0,1,0,1
0,2,0.0,0,28.0,1,0,1
1,2,36.75,2,8.0,1,0,1
0,2,73.5,0,18.0,1,0,1
1,2,36.75,2,48.0,0,0,1
1,2,13.0,0,28.0,0,0,1
0,2,13.0,0,32.0,1,0,1
0,2,73.5,0,17.0,1,0,1
0,2,27.7208,1,29.0,1,0,0
1,2,27.7208,1,24.0,0,0,0
0,2,31.5,0,25.0,1,0,1
0,2,73.5,0,18.0,1,0,1
1,2,23.0,1,18.0,0,0,1
1,2,23.0,1,34.0,0,0,1
0,2,26.0,0,54.0,1,0,1
1,2,32.5,2,8.0,1,0,1
0,2,32.5,2,42.0,1,0,1
1,2,32.5,2,34.0,0,0,1
1,2,13.8583,1,27.0,0,0,0
1,2,13.8583,1,30.0,0,0,0
0,2,13.0,0,23.0,1,0,1
0,2,13.0,0,21.0,1,0,1
0,2,13.0,0,18.0,1,0,1
0,2,26.0,1,40.0,1,0,1
1,2,26.0,1,29.0,0,0,1
0,2,10.5,0,18.0,1,0,1
0,2,13.0,0,36.0,1,0,1
0,2,0.0,0,28.0,1,0,1
0,2,13.0,0,38.0,0,0,1
0,2,26.0,0,35.0,1,0,1
0,2,21.0,1,38.0,1,0,1
0,2,21.0,1,34.0,1,0,1
1,2,13.0,0,34.0,0,0,1
0,2,26.0,0,16.0,1,0,1
0,2,10.5,0,26.0,1,0,1
0,2,10.5,0,47.0,1,0,1
0,2,11.5,1,21.0,1,0,1
0,2,11.5,1,21.0,1,0,1
0,2,13.5,0,24.0,1,0,1
0,2,13.0,0,24.0,1,0,1
0,2,13.0,0,34.0,1,0,1
0,2,13.0,0,30.0,1,0,1
0,2,13.0,0,52.0,1,0,1
0,2,13.0,0,30.0,1,0,1
1,2,14.5,2,0.67,1,0,1
1,2,14.5,2,24.0,0,0,1
0,2,13.0,0,44.0,1,0,1
1,2,33.0,1,6.0,0,0,1
